date,amount,description,category
2024-01-01,1029680,donasi gereja,Donasi & Hadiah
2024-01-01,1303275,handuk mandi,Perumahan & Akomodasi
2024-01-01,317929,coating motor,Transportasi
2024-01-01,823903,ayam goreng,Makanan & Minuman
2024-01-02,973834,franchise fee,Bisnis & Profesional
2024-01-02,826247,cicilan kecil,Lain-lain
2024-01-02,909914,honorarium,Bisnis & Profesional
2024-01-02,1242445,beli buku,Belanja & Hiburan
2024-01-03,1948049,kost-kostan,Tabungan & Investasi
2024-01-03,1761314,novel terbaru,Belanja & Hiburan
2024-01-03,277613,beli celana,Belanja & Hiburan
2024-01-03,13974,program sosial,Donasi & Hadiah
2024-01-04,557366,pos,Lain-lain
2024-01-04,1217806,kebutuhan dadakan,Lain-lain
2024-01-04,975989,daging ayam,Makanan & Minuman
2024-01-04,622714,obligasi,Tabungan & Investasi
2024-01-05,444106,asuransi kredit,Utang & Cicilan
2024-01-05,1652648,penghapus,Pendidikan
2024-01-05,858823,underwear,Belanja & Hiburan
2024-01-05,1445853,beli sepatu,Belanja & Hiburan
2024-01-05,1943255,tidak terkategori,Lain-lain
2024-01-06,463943,kipas angin,Perumahan & Akomodasi
2024-01-06,994160,sewa rumah,Perumahan & Akomodasi
2024-01-06,32901,crypto,Tabungan & Investasi
2024-01-06,500131,top up,Utang & Cicilan
2024-01-07,1585151,correction pen,Pendidikan
2024-01-07,1771944,forex,Tabungan & Investasi
2024-01-07,867639,souvenir,Travel & Liburan
2024-01-07,1301772,workshop bisnis,Bisnis & Profesional
2024-01-07,927534,hostel,Travel & Liburan
2024-01-07,1783407,penginapan,Travel & Liburan
2024-01-07,720887,lemari pakaian,Perumahan & Akomodasi
2024-01-07,720800,moisturizer,Kesehatan & Kebugaran
2024-01-07,159625,uang kuliah,Pendidikan
2024-01-07,151769,sabun cuci piring,Perumahan & Akomodasi
2024-01-08,447040,supplier,Bisnis & Profesional
2024-01-08,252104,volunteer,Donasi & Hadiah
2024-01-08,1447351,property investment,Tabungan & Investasi
2024-01-08,400462,jaket outdoor,Travel & Liburan
2024-01-08,1660087,bonus,Bisnis & Profesional
2024-01-08,1095674,investasi jangka pendek,Tabungan & Investasi
2024-01-09,632842,royalty,Bisnis & Profesional
2024-01-09,349177,rumah zakat,Donasi & Hadiah
2024-01-09,1280789,personal trainer,Kesehatan & Kebugaran
2024-01-09,1990913,alat rumah tangga,Lain-lain
2024-01-09,1389902,tirai jendela,Perumahan & Akomodasi
2024-01-09,852663,kerja sosial,Donasi & Hadiah
2024-01-09,867451,bayar kos,Perumahan & Akomodasi
2024-01-09,612055,investasi pendidikan,Tabungan & Investasi
2024-01-10,1986915,bayar gas,Perumahan & Akomodasi
2024-01-10,178405,macam-macam,Lain-lain
2024-01-10,1596589,uang kuliah,Pendidikan
2024-01-10,525633,belanja iseng,Lain-lain
2024-01-10,871465,hosting,Bisnis & Profesional
2024-01-10,1595524,periksa dokter,Kesehatan & Kebugaran
2024-01-10,218800,printer,Pendidikan
2024-01-11,470570,cat tembok,Perumahan & Akomodasi
2024-01-11,1956941,hand sanitizer,Kesehatan & Kebugaran
2024-01-11,1934585,deposit apartemen,Perumahan & Akomodasi
2024-01-11,1983962,kebutuhan harian,Lain-lain
2024-01-11,978517,cicilan furniture,Utang & Cicilan
2024-01-11,1492089,netflix,Belanja & Hiburan
2024-01-11,471040,tirai jendela,Perumahan & Akomodasi
2024-01-12,245232,workshop bisnis,Bisnis & Profesional
2024-01-12,301482,souvenir,Travel & Liburan
2024-01-12,1330806,business meeting,Bisnis & Profesional
2024-01-12,1452070,social media ads,Bisnis & Profesional
2024-01-12,1807936,biaya bandara,Transportasi
2024-01-12,326905,influencer,Bisnis & Profesional
2024-01-13,1519547,martabak,Makanan & Minuman
2024-01-13,1237236,biaya admin,Lain-lain
2024-01-13,857739,pos,Lain-lain
2024-01-13,1080098,kredit kendaraan,Utang & Cicilan
2024-01-14,1414486,copyright,Bisnis & Profesional
2024-01-14,1297576,periksa dokter,Kesehatan & Kebugaran
2024-01-15,270463,pengeluaran rutin,Lain-lain
2024-01-15,200473,powerbank,Travel & Liburan
2024-01-15,404668,keyboard,Pendidikan
2024-01-15,1506165,rental car,Travel & Liburan
2024-01-16,353779,beli lampu,Perumahan & Akomodasi
2024-01-16,148900,kurir,Lain-lain
2024-01-16,1231198,rental mobil,Transportasi
2024-01-16,1083063,fundraising,Donasi & Hadiah
2024-01-17,728103,seminar,Pendidikan
2024-01-17,146119,suplemen,Kesehatan & Kebugaran
2024-01-17,1872145,hostel,Travel & Liburan
2024-01-17,1384772,jaket riding,Transportasi
2024-01-17,1806478,keperluan mendadak,Lain-lain
2024-01-17,1360689,aneka ragam,Lain-lain
2024-01-18,658416,cash advance,Utang & Cicilan
2024-01-19,1319257,modal usaha,Bisnis & Profesional
2024-01-19,1905104,investasi jangka panjang,Tabungan & Investasi
2024-01-19,376692,hadiah pernikahan,Donasi & Hadiah
2024-01-20,1847813,sofa ruang tamu,Perumahan & Akomodasi
2024-01-20,114231,pengeluaran rutin,Lain-lain
2024-01-20,1010971,bisnis sampingan,Tabungan & Investasi
2024-01-20,1392779,pos,Lain-lain
