description,category
gym,Kesehatan & Kebugaran
beli baju,Belanja & Hiburan
iklan,Bisnis & Profesional
suplemen,Kesehatan & Kebugaran
taksi online,Transportasi
taksi online,Transportasi
obat-obatan,Kesehatan & Kebugaran
pelatihan,Bisnis & Profesional
liburan,Belanja & Hiburan
wisata,Travel & Liburan
bahan makanan,Makanan & Minuman
vitamin,Kesehatan & Kebugaran
tabungan pendidikan,Tabungan & Investasi
liburan,Belanja & Hiburan
wisata,Travel & Liburan
hobi,Belanja & Hiburan
pinjaman online,Utang & Cicilan
tabungan pendidikan,Tabungan & Investasi
transportasi liburan,Travel & Liburan
ujian,Pendidikan
cemilan,Makanan & Minuman
konsultan,Bisnis & Profesional
investasi saham,Tabungan & Investasi
tiket kereta,Transportasi
sumbangan sosial,Donasi & Hadiah
asuransi,Tabungan & Investasi
kebersihan rumah,Perumahan & Akomodasi
perbaikan rumah,Perumahan & Akomodasi
investasi saham,Tabungan & Investasi
investasi saham,Tabungan & Investasi
kebersihan rumah,Perumahan & Akomodasi
kebersihan rumah,Perumahan & Akomodasi
sedekah,Donasi & Hadiah
parkir,Transportasi
taksi online,Transportasi
hobi,Belanja & Hiburan
makan siang,Makanan & Minuman
deposito,Tabungan & Investasi
akomodasi,Travel & Liburan
liburan,Belanja & Hiburan
makanan sehat,Kesehatan & Kebugaran
leasing,Utang & Cicilan
emas,Tabungan & Investasi
hobi,Belanja & Hiburan
perjalanan bisnis,Bisnis & Profesional
cemilan,Makanan & Minuman
belanja dapur,Makanan & Minuman
dana sosial,Donasi & Hadiah
investasi saham,Tabungan & Investasi
sedekah,Donasi & Hadiah
cemilan,Makanan & Minuman
kredit tanpa agunan,Utang & Cicilan
crypto,Tabungan & Investasi
bayar air,Perumahan & Akomodasi
keperluan pribadi,Lain-lain
aktivitas liburan,Travel & Liburan
dokter,Kesehatan & Kebugaran
emas,Tabungan & Investasi
visa,Travel & Liburan
bunga pinjaman,Utang & Cicilan
hobi,Belanja & Hiburan
hotel,Travel & Liburan
perawatan kulit,Kesehatan & Kebugaran
uang kuliah,Pendidikan
makan siang,Makanan & Minuman
reksadana,Tabungan & Investasi
dokter,Kesehatan & Kebugaran
servis mobil,Transportasi
hobi,Belanja & Hiburan
langganan software,Bisnis & Profesional
bayar listrik,Perumahan & Akomodasi
transportasi liburan,Travel & Liburan
belanja dapur,Makanan & Minuman
hadiah ulang tahun,Donasi & Hadiah
dana sosial,Donasi & Hadiah
tol,Transportasi
belanja online,Belanja & Hiburan
cicilan KPR,Utang & Cicilan
dekorasi rumah,Perumahan & Akomodasi
gaji karyawan,Bisnis & Profesional
tiket pesawat,Transportasi
konsultan,Bisnis & Profesional
oleh-oleh,Travel & Liburan
infaq,Donasi & Hadiah
crypto,Tabungan & Investasi
wisata,Travel & Liburan
keperluan mendadak,Lain-lain
cicilan mobil,Utang & Cicilan
pesan antar,Makanan & Minuman
denda,Utang & Cicilan
kredit tanpa agunan,Utang & Cicilan
wisata,Travel & Liburan
seminar,Pendidikan
dekorasi rumah,Perumahan & Akomodasi
makan siang,Makanan & Minuman
beli baju,Belanja & Hiburan
vitamin,Kesehatan & Kebugaran
suplemen,Kesehatan & Kebugaran
perbaikan rumah,Perumahan & Akomodasi
reksadana,Tabungan & Investasi
pengeluaran tak terduga,Lain-lain
makan malam,Makanan & Minuman
obat-obatan,Kesehatan & Kebugaran
properti,Tabungan & Investasi
makan siang,Makanan & Minuman
dokter,Kesehatan & Kebugaran
reksadana,Tabungan & Investasi
dana sosial,Donasi & Hadiah
iuran bulanan,Perumahan & Akomodasi
liburan,Belanja & Hiburan
leasing,Utang & Cicilan
perlengkapan sekolah,Pendidikan
hotel,Travel & Liburan
dekorasi rumah,Perumahan & Akomodasi
seminar,Pendidikan
gym,Kesehatan & Kebugaran
sumbangan sosial,Donasi & Hadiah
paket tur,Travel & Liburan
seminar,Pendidikan
uang saku,Lain-lain
biaya administrasi,Lain-lain
liburan,Belanja & Hiburan
hobi,Belanja & Hiburan
cicilan KPR,Utang & Cicilan
pajak bisnis,Bisnis & Profesional
hadiah ulang tahun,Donasi & Hadiah
game,Belanja & Hiburan
penelitian,Pendidikan
isi bensin,Transportasi
peralatan rumah tangga,Perumahan & Akomodasi
pelatihan,Bisnis & Profesional
uang saku,Lain-lain
bayar air,Perumahan & Akomodasi
servis mobil,Transportasi
visa,Travel & Liburan
akomodasi,Travel & Liburan
lain-lain,Lain-lain
denda,Utang & Cicilan
donasi amal,Donasi & Hadiah
perjalanan dinas,Transportasi
perjalanan dinas,Transportasi
penelitian,Pendidikan
emas,Tabungan & Investasi
konser,Belanja & Hiburan
oleh-oleh,Travel & Liburan
uang kuliah,Pendidikan
perjalanan dinas,Transportasi
dana pensiun,Tabungan & Investasi
cemilan,Makanan & Minuman
les privat,Pendidikan
visa,Travel & Liburan
tiket liburan,Travel & Liburan
uang kuliah,Pendidikan
perlengkapan sekolah,Pendidikan
wisata,Travel & Liburan
infaq,Donasi & Hadiah
ujian,Pendidikan
beli baju,Belanja & Hiburan
makan malam,Makanan & Minuman
pajak bisnis,Bisnis & Profesional
tiket liburan,Travel & Liburan
buku pelajaran,Pendidikan
bayar listrik,Perumahan & Akomodasi
lain-lain,Lain-lain
akomodasi,Travel & Liburan
cicilan mobil,Utang & Cicilan
olahraga,Belanja & Hiburan
pengembangan usaha,Bisnis & Profesional
hobi,Belanja & Hiburan
cicilan KPR,Utang & Cicilan
asuransi kesehatan,Kesehatan & Kebugaran
les privat,Pendidikan
crypto,Tabungan & Investasi
restoran,Makanan & Minuman
deposito,Tabungan & Investasi
fundraising,Donasi & Hadiah
crypto,Tabungan & Investasi
taksi online,Transportasi
crypto,Tabungan & Investasi
biaya proyek,Bisnis & Profesional
dokter,Kesehatan & Kebugaran
pinjaman online,Utang & Cicilan
terapi,Kesehatan & Kebugaran
keperluan mendadak,Lain-lain
donasi amal,Donasi & Hadiah
olahraga,Belanja & Hiburan
langganan software,Bisnis & Profesional
belanja dapur,Makanan & Minuman
donasi amal,Donasi & Hadiah
perawatan kulit,Kesehatan & Kebugaran
aktivitas liburan,Travel & Liburan
tiket pesawat,Transportasi
